Time,OriginVertihub,OriginVertiport,DestinationVertihub,DestinationVertiport
0,8,15,8,15
0,1,1,1,1
0,6,26,6,26
0,7,24,7,7
0,6,11,6,11
0,3,13,1,17
0,6,2,6,2
0,0,6,0,6
0,6,11,1,17
0,2,0,6,26
0,3,13,3,13
0,1,1,7,12
0,5,5,1,8
0,6,2,6,2
0,6,11,6,26
0,1,8,1,8
0,1,1,1,22
0,1,1,1,1
0,6,2,6,2
0,6,21,6,21
0,1,1,1,1
0,6,21,2,0
0,6,2,6,2
0,6,2,6,11
0,1,22,1,1
0,7,24,3,13
0,1,18,1,1
0,6,11,1,8
0,3,13,3,13
0,0,6,0,6
0,5,16,5,29
0,1,1,1,8
0,3,13,7,7
0,1,18,1,22
0,6,26,1,17
0,6,26,1,17
0,2,10,0,6
0,1,18,1,18
0,2,19,2,19
0,7,7,7,7
0,7,24,9,4
0,1,17,1,17
0,6,11,6,11
0,1,1,1,22
0,9,4,7,24
0,7,12,9,4
0,5,27,2,10
0,1,17,1,22
0,6,21,6,2
0,1,1,1,1
0,3,9,3,9
0,6,11,6,11
0,2,25,6,11
0,2,0,6,21
0,2,10,5,27
0,1,17,6,26
0,1,1,6,26
0,1,1,1,1
0,1,1,1,1
0,2,0,5,29
0,0,6,0,6
0,6,11,6,26
0,7,12,7,12
0,2,0,2,0
0,0,6,0,6
0,3,9,6,21
0,1,8,6,11
0,5,29,2,0
0,6,26,6,26
0,6,11,6,11
0,1,22,1,1
0,0,6,0,6
0,1,17,1,17
0,6,2,3,9
0,1,22,1,1
0,3,13,7,12
0,1,22,1,8
0,1,8,1,8
0,1,1,6,26
0,1,17,1,17
0,6,11,6,11
0,3,9,3,9
0,6,26,6,26
0,1,8,1,8
0,1,22,1,22
0,5,5,5,5
0,6,21,3,9
0,0,6,0,6
0,1,1,1,17
0,3,13,3,13
0,7,7,7,7
0,1,22,7,12
0,5,5,5,29
0,6,2,6,2
0,6,11,6,26
0,1,22,7,12
0,3,13,3,13
0,6,11,6,21
0,1,8,1,8
0,9,28,9,28
0,6,26,6,11
0,1,17,5,5
0,1,1,1,17
0,6,21,6,11
0,5,29,5,29
0,7,12,7,12
0,7,12,1,22
0,1,8,1,8
0,6,21,3,9
0,1,1,1,1
0,1,22,1,17
0,3,13,6,2
0,9,4,9,4
0,3,9,3,9
0,7,7,7,7
0,5,16,2,10
0,1,17,1,8
0,6,11,6,11
0,5,5,1,1
0,3,9,3,9
0,1,1,1,8
0,5,16,5,16
0,6,2,1,17
0,1,8,1,1
0,6,21,2,0
