Time,OriginVertihub,OriginVertiport,DestinationVertihub,DestinationVertiport
0,11,38,5,128
0,3,18,3,99
60,11,92,11,24
60,1,137,11,83
60,5,119,11,38
60,0,124,9,49
60,5,63,5,61
0,5,67,6,88
60,5,0,12,128
0,5,128,13,38
60,8,59,2,87
0,11,39,8,57
60,5,128,5,128
0,5,140,0,25
0,9,100,3,58
0,0,41,6,6
0,5,144,5,102
60,5,37,12,102
60,6,143,1,155
60,6,150,6,150
0,11,93,11,38
60,5,114,5,17
60,5,128,5,114
60,2,82,2,126
0,5,97,0,91
0,1,96,1,96
0,1,5,14,155
0,8,59,8,146
60,3,9,9,36
0,11,121,-1,87
0,11,4,11,39
60,6,40,6,27
60,10,14,10,141
0,0,157,0,157
0,5,140,5,7
0,2,87,2,116
0,1,103,1,155
60,4,110,4,110
60,1,103,6,143
0,4,69,4,72
60,0,2,0,124
60,1,138,6,40
0,5,63,12,128
0,11,86,11,86
0,11,76,5,63
0,5,54,3,127
60,5,114,5,119
60,11,86,1,118
60,11,145,13,38
0,2,42,-1,116
60,2,10,11,130
0,11,48,13,83
60,5,51,11,21
60,1,134,1,16
60,11,130,11,38
60,1,118,5,78
60,5,67,9,148
0,11,48,1,1
0,3,58,-1,58
60,7,60,7,60
0,5,63,5,11
60,9,100,9,13
60,5,114,5,51
0,11,86,13,86
60,11,93,5,102
0,2,42,2,116
0,3,19,3,98
0,10,141,11,62
0,11,39,5,26
60,6,143,1,64
0,1,155,14,1
0,5,140,-1,124
0,11,38,13,38
60,5,67,12,119
60,11,83,13,62
0,11,38,11,38
0,1,96,5,32
0,5,144,6,29
0,5,54,13,21
0,11,130,11,158
60,11,93,1,1
60,5,67,5,144
0,1,1,12,26
0,11,86,13,130
0,0,124,0,124
0,5,67,1,56
0,5,78,5,147
60,6,88,1,138
0,5,51,15,88
0,0,157,-1,124
60,5,78,5,135
60,11,117,11,4
60,6,44,6,44
60,1,137,14,1
0,5,37,11,33
0,5,11,11,76
60,1,16,14,16
60,1,134,12,135
0,11,21,12,11
60,11,21,13,38
0,1,47,1,47
60,5,37,13,76
60,1,1,1,103
0,3,90,3,90
0,11,38,5,11
60,1,16,1,5
60,5,11,12,147
0,11,38,11,130
60,11,130,12,114
60,10,141,11,62
60,11,76,11,21
60,5,128,13,130
60,3,58,9,100
0,5,128,5,128
0,5,54,-1,90
0,5,135,14,56
60,5,67,5,135
60,5,97,12,32
0,5,37,5,26
0,1,118,12,135
0,1,137,11,86
60,5,119,5,147
0,11,145,-1,126
60,1,155,14,138
60,1,137,1,1
0,1,5,14,5
0,0,157,12,51
0,7,77,13,62
0,11,39,5,115
0,11,39,11,38
0,5,32,15,150
60,1,89,1,89
0,11,93,12,26
0,11,76,13,38
60,11,38,13,4
0,11,83,11,45
60,11,39,11,76
60,3,99,-1,127
0,3,9,3,75
60,11,154,13,33
60,1,137,12,102
60,2,87,11,121
0,11,76,13,76
0,5,144,12,144
60,11,38,5,97
60,1,66,14,118
60,5,32,12,97
60,1,16,15,27
0,5,63,12,128
60,5,140,5,51
0,6,123,6,65
60,11,4,11,38
60,5,119,5,119
60,1,103,-1,141
60,11,45,11,4
0,11,93,14,1
0,5,11,5,37
0,11,4,11,117
60,1,66,1,5
0,9,148,-1,98
0,11,121,2,87
60,5,63,13,38
60,1,64,14,155
0,11,4,13,21
60,5,144,5,54
0,11,145,11,33
60,6,152,6,104
0,11,20,7,109
60,0,2,0,2
60,3,18,3,35
0,10,68,14,47
60,11,39,11,38
60,11,38,1,118
60,11,108,13,38
60,3,98,5,114
60,2,73,2,73
60,6,143,6,156
0,8,153,2,10
0,1,118,1,137
60,1,134,11,93
0,1,1,1,66
0,1,1,5,135
0,6,29,-1,148
0,11,38,12,37
60,5,67,12,135
60,11,38,11,38
0,1,66,14,89
60,11,38,5,144
60,5,97,12,144
60,5,147,5,97
60,11,21,13,93
60,1,137,11,83
0,5,32,-1,35
0,0,157,0,124
60,10,141,1,47
60,6,152,5,32
0,5,17,14,96
0,2,82,2,82
0,11,121,13,121
0,5,11,5,102
0,4,110,4,30
0,5,128,12,11
60,11,83,13,83
60,11,38,13,38
60,3,90,3,98
60,9,148,3,19
0,5,51,5,37
60,6,40,14,64
0,1,5,14,118
0,11,38,11,38
0,11,93,12,102
60,1,89,1,118
0,5,61,12,97
60,11,93,3,31
0,11,38,13,39
60,1,46,13,117
60,6,152,12,51
0,1,103,1,89
60,5,128,11,76
60,5,11,13,76
0,1,118,1,16
60,11,93,12,37
60,0,91,-1,2
60,1,64,15,143
0,5,128,5,128
60,0,122,-1,124
60,9,95,9,52
0,6,27,1,138
0,5,128,12,128
60,5,135,11,93
0,1,56,15,29
60,9,36,-1,36
60,6,88,5,140
60,6,81,12,140
0,11,121,13,45
60,11,4,11,154
60,5,102,13,38
60,5,128,11,130
0,11,38,11,21
0,1,118,12,78
60,6,27,5,67
0,11,38,5,11
0,0,41,6,81
0,6,156,14,138
