Time,OriginVertihub,OriginVertiport,DestinationVertihub,DestinationVertiport
0,7,38,7,128
0,2,18,2,99
60,1,92,1,24
60,3,137,1,83
60,7,119,7,38
60,0,124,5,49
60,7,63,7,61
0,7,67,5,88
60,7,0,7,128
0,7,128,7,38
60,4,59,4,87
0,1,39,4,57
60,7,128,7,128
0,7,140,0,25
0,2,100,2,58
0,0,41,5,6
0,7,144,7,102
60,7,37,7,102
60,5,143,5,155
60,5,150,5,150
0,7,93,7,38
60,7,114,7,17
60,7,128,7,114
60,4,82,4,126
0,7,97,0,91
0,7,96,7,96
0,5,5,5,155
0,4,59,4,146
60,2,9,2,36
0,1,121,4,87
0,1,4,1,39
60,5,40,5,27
60,3,14,3,141
0,0,157,0,157
0,7,140,7,7
0,4,87,1,116
0,3,103,5,155
60,6,110,6,110
60,3,103,5,143
0,6,69,6,72
60,0,2,0,124
60,5,138,5,40
0,7,63,7,128
0,1,86,1,86
0,7,76,7,63
0,7,54,2,127
60,7,114,7,119
60,1,86,7,118
60,1,145,7,38
0,1,42,1,116
60,1,10,1,130
0,7,48,1,83
60,7,51,1,21
60,7,134,7,16
60,1,130,7,38
60,7,118,7,78
60,7,67,2,148
0,7,48,7,1
0,2,58,2,58
60,3,60,3,60
0,7,63,7,11
60,2,100,0,13
60,7,114,7,51
0,1,86,1,86
60,7,93,7,102
0,1,42,1,116
0,2,19,2,98
0,3,141,1,62
0,1,39,7,26
60,5,143,5,64
0,5,155,7,1
0,7,140,0,124
0,7,38,7,38
60,7,67,7,119
60,1,83,1,62
0,7,38,7,38
0,7,96,7,32
0,7,144,5,29
0,7,54,1,21
0,1,130,1,158
60,7,93,7,1
60,7,67,7,144
0,7,1,7,26
0,1,86,1,130
0,0,124,0,124
0,7,67,7,56
0,7,78,7,147
60,5,88,5,138
0,7,51,5,88
0,0,157,0,124
60,7,78,7,135
60,1,117,1,4
60,5,44,5,44
60,3,137,7,1
0,7,37,1,33
0,7,11,7,76
60,7,16,7,16
60,7,134,7,135
0,1,21,7,11
60,1,21,7,38
0,3,47,3,47
60,7,37,7,76
60,7,1,3,103
0,2,90,2,90
0,7,38,7,11
60,7,16,5,5
60,7,11,7,147
0,7,38,1,130
60,1,130,7,114
60,3,141,1,62
60,7,76,1,21
60,7,128,1,130
60,2,58,2,100
0,7,128,7,128
0,7,54,2,90
0,7,135,7,56
60,7,67,7,135
60,7,97,7,32
0,7,37,7,26
0,7,118,7,135
0,3,137,1,86
60,7,119,7,147
0,1,145,4,126
60,5,155,5,138
60,3,137,7,1
0,5,5,5,5
0,0,157,7,51
0,3,77,1,62
0,1,39,7,115
0,1,39,7,38
0,7,32,5,150
60,3,89,3,89
0,7,93,7,26
0,7,76,7,38
60,7,38,1,4
0,1,83,1,45
60,1,39,7,76
60,2,99,2,127
0,2,9,2,75
60,1,154,1,33
60,3,137,7,102
60,4,87,1,121
0,7,76,7,76
0,7,144,7,144
60,7,38,7,97
60,7,66,7,118
60,7,32,7,97
60,7,16,5,27
0,7,63,7,128
60,7,140,7,51
0,5,123,5,65
60,1,4,7,38
60,7,119,7,119
60,3,103,3,141
60,1,45,1,4
0,7,93,7,1
0,7,11,7,37
0,1,4,1,117
60,7,66,5,5
0,2,148,2,98
0,1,121,4,87
60,7,63,7,38
60,5,64,5,155
0,1,4,1,21
60,7,144,7,54
0,1,145,1,33
60,5,152,5,104
0,1,20,1,109
60,0,2,0,2
60,2,18,2,35
0,3,68,3,47
60,1,39,7,38
60,7,38,7,118
60,1,108,7,38
60,2,98,7,114
60,1,73,1,73
60,5,143,5,156
0,4,153,1,10
0,7,118,3,137
60,7,134,7,93
0,7,1,7,66
0,7,1,7,135
0,5,29,2,148
0,7,38,7,37
60,7,67,7,135
60,7,38,7,38
0,7,66,3,89
60,7,38,7,144
60,7,97,7,144
60,7,147,7,97
60,1,21,7,93
60,3,137,1,83
0,7,32,2,35
0,0,157,0,124
60,3,141,3,47
60,5,152,7,32
0,7,17,7,96
0,4,82,4,82
0,1,121,1,121
0,7,11,7,102
0,6,110,6,30
0,7,128,7,11
60,1,83,1,83
60,7,38,7,38
60,2,90,2,98
60,2,148,2,19
0,7,51,7,37
60,5,40,5,64
0,5,5,7,118
0,7,38,7,38
0,7,93,7,102
60,3,89,7,118
0,7,61,7,97
60,7,93,2,31
0,7,38,1,39
60,3,46,1,117
60,5,152,7,51
0,3,103,3,89
60,7,128,7,76
60,7,11,7,76
0,7,118,7,16
60,7,93,7,37
60,0,91,0,2
60,5,64,5,143
0,7,128,7,128
60,0,122,0,124
60,2,95,0,52
0,5,27,5,138
0,7,128,7,128
60,7,135,7,93
0,7,56,5,29
60,2,36,2,36
60,5,88,7,140
60,5,81,7,140
0,1,121,1,45
60,1,4,1,154
60,7,102,7,38
60,7,128,1,130
0,7,38,1,21
0,7,118,7,78
60,5,27,7,67
0,7,38,7,11
0,0,41,5,81
0,5,156,5,138
0,2,18,2,98
60,2,90,2,95
0,5,112,5,29
60,5,44,0,157
60,7,32,7,135
0,7,37,7,102
0,7,66,7,66
60,1,62,1,83
60,5,40,5,152
60,2,31,2,99
0,7,56,7,96
60,5,143,5,64
0,1,62,3,14
60,6,69,6,110
60,3,142,3,47
60,7,78,7,93
0,5,64,7,66
0,2,84,7,51
0,3,89,7,66
60,7,37,7,115
60,2,18,2,18
0,2,127,2,99
0,5,29,0,41
60,3,137,7,118
60,7,118,7,134
60,7,102,7,26
60,2,90,2,98
60,7,76,7,147
0,1,45,1,158
60,1,73,1,73
60,7,37,7,102
60,7,140,7,96
0,7,128,1,117
0,7,118,1,33
0,7,118,7,1
0,7,38,7,16
0,7,119,7,144
60,1,33,1,33
60,7,135,7,51
60,7,97,7,11
60,7,134,7,118
0,2,90,7,54
60,5,138,5,138
0,3,141,7,118
60,7,135,5,155
0,7,0,7,119
0,7,7,5,150
0,7,38,7,114
0,2,148,2,90
0,1,21,1,86
60,7,128,7,97
0,3,149,3,47
0,3,137,3,47
60,3,89,7,16
60,7,37,7,37
60,7,26,7,17
0,3,133,3,133
0,1,92,1,145
0,7,16,3,46
0,1,4,1,45
0,5,40,7,56
0,7,11,7,37
60,2,148,2,90
0,7,32,7,140
60,7,48,1,117
0,7,67,7,67
0,7,63,5,29
60,7,11,7,38
0,0,124,0,41
0,7,38,7,38
0,7,16,7,1
0,7,0,7,144
60,2,36,0,157
60,1,145,1,145
0,3,137,3,103
60,3,141,3,89
0,1,145,1,20
0,7,63,7,115
60,7,102,1,117
60,3,70,3,149
0,2,18,2,18
60,7,128,7,38
0,7,0,7,63
60,7,76,7,54
0,1,4,1,117
0,5,29,5,29
60,1,154,1,45
60,7,38,7,38
0,3,60,3,43
0,2,84,2,148
0,2,31,2,9
0,7,119,7,119
60,1,108,7,38
0,0,25,0,22
60,7,48,1,117
60,2,90,2,18
60,3,47,1,62
0,5,29,5,29
0,3,137,3,47
60,7,128,7,76
60,3,141,1,62
0,7,135,7,51
60,5,138,5,155
0,7,118,7,102
0,3,46,7,1
0,7,17,7,56
0,3,137,7,66
0,3,46,3,141
60,1,10,1,116
0,7,17,7,51
0,5,138,5,156
60,7,37,7,38
0,2,98,7,54
0,2,127,2,90
0,3,60,3,60
60,7,128,7,128
60,5,155,5,155
60,7,38,1,4
60,0,79,0,157
60,5,44,6,30
0,7,11,7,128
0,7,38,1,4
0,5,138,5,138
0,3,89,7,66
0,5,88,5,27
0,3,46,7,118
60,2,19,2,53
0,5,156,5,156
0,7,93,1,4
60,5,155,5,64
0,2,99,2,99
0,7,11,7,76
60,0,124,0,157
60,7,37,1,21
0,2,84,7,51
60,3,103,3,47
60,3,46,3,103
0,3,60,3,60
0,4,126,4,87
60,7,135,7,135
60,7,97,7,7
0,2,18,2,35
60,7,1,7,48
60,7,37,5,40
60,1,73,1,10
60,7,32,7,115
60,1,73,4,82
60,5,64,7,16
0,7,38,1,117
60,7,0,7,147
0,5,27,7,51
60,3,141,3,47
60,7,37,7,114
60,7,144,5,88
0,7,140,5,152
0,1,83,1,145
60,1,12,3,60
0,7,76,7,38
0,7,54,7,119
0,7,32,7,56
0,1,4,7,48
0,0,52,0,41
0,1,85,1,62
60,5,64,7,16
60,7,134,7,1
60,1,121,1,121
60,7,38,7,93
0,5,40,5,152
0,7,96,7,7
0,7,0,7,97
0,7,38,7,37
60,7,26,7,67
60,7,11,7,76
60,7,32,7,115
0,0,157,0,124
0,7,38,7,38
60,5,64,7,118
0,1,21,1,4
60,0,124,0,157
60,4,87,1,39
0,7,96,5,27
60,3,89,7,66
0,1,145,1,24
0,7,128,7,38
60,5,152,5,65
0,7,118,5,138
60,7,63,7,128
60,3,142,3,142
60,1,116,1,116
0,7,147,7,135
0,7,96,5,81
0,7,38,7,63
60,3,68,3,28
60,5,152,5,152
60,5,152,5,81
60,7,38,1,158
60,7,38,7,38
0,1,4,1,154
60,7,147,7,76
0,7,115,7,54
0,7,135,7,26
60,1,92,7,38
60,1,73,1,158
60,7,128,7,76
60,7,61,7,63
60,1,33,1,145
0,2,18,2,98
0,7,118,7,78
0,1,117,7,76
60,3,60,1,12
0,0,13,0,79
0,7,16,5,64
0,7,1,7,56
0,7,38,7,140
0,1,117,7,38
0,7,128,7,97
60,0,157,0,157
0,7,54,2,98
0,1,73,1,73
60,7,134,5,64
0,1,145,1,130
60,2,99,2,18
0,7,76,7,56
0,7,16,1,83
0,7,38,7,38
60,7,96,0,157
0,1,10,1,116
0,1,62,1,24
60,1,73,4,55
60,7,61,7,37
60,7,140,7,115
60,7,93,7,38
0,7,56,5,64
0,7,38,7,78
0,7,0,7,26
0,7,118,3,89
0,1,4,7,38
0,2,31,2,31
60,2,84,7,115
0,7,76,7,128
60,7,7,7,51
0,7,128,7,38
60,5,143,5,64
60,7,97,2,31
0,7,16,5,155
60,7,147,7,38
0,7,38,7,128
0,3,149,3,14
0,4,82,1,24
0,7,38,1,4
60,1,10,1,73
0,7,78,7,56
0,2,98,2,98
0,7,63,7,63
0,0,124,0,2
60,7,96,5,150
0,7,37,7,134
60,7,76,7,128
60,7,16,7,16
0,4,82,4,34
60,7,115,7,144
0,7,140,7,135
60,0,157,5,152
0,3,89,3,89
0,7,1,7,48
60,5,156,5,5
0,1,73,1,116
0,1,86,1,86
0,3,89,7,51
