vertiport,long,lat,num_vertihubs,vertihub_0,vertihub_1
0,-87.86793513775183,42.113022941897285,2,5,12
1,-87.98367833524149,41.75537922220125,2,1,14
2,-88.99686409072602,42.43145284322427,1,0,-1
3,-87.0086588734345,41.3198020160122,1,2,-1
4,-87.70693467302983,41.73522239771515,2,11,13
5,-88.37097785788316,41.721232536769854,2,1,14
6,-88.70539956720825,42.141602478926124,2,6,15
7,-88.16020179663309,42.189398720174395,2,5,12
8,-88.94079443980563,41.46023056898325,1,4,-1
9,-88.09527545354213,42.76267280730196,1,3,-1
10,-87.34191359606533,41.54796622989152,1,2,-1
11,-87.75633605623297,41.991456668631585,2,5,12
12,-87.6211302253781,41.16305298902157,1,7,-1
13,-88.64726587135993,42.63116694200247,1,9,-1
14,-88.11316986125115,41.45092497862963,1,10,-1
15,-86.5859094383548,41.69005089880658,1,8,-1
16,-88.16850673334386,41.78002546054545,2,1,14
17,-88.03551284016197,41.93978956448888,2,5,12
18,-87.85579634923401,42.367622354721185,1,3,-1
19,-88.20906482884745,42.43891922151853,1,3,-1
20,-87.65858175585205,41.50569424699269,2,11,13
21,-87.69727086868014,41.82577308455332,2,11,13
22,-89.11245479247846,41.94220108364056,1,0,-1
23,-88.79612907871515,41.231888226858324,1,4,-1
24,-87.56325596747908,41.61628129126393,2,11,13
25,-89.16041396038806,42.22766762140297,1,0,-1
26,-87.87350072632186,41.94043540758355,2,5,12
27,-88.27874024102321,42.02545187641108,2,6,15
28,-88.34215515853428,41.22935250915319,1,10,-1
29,-88.31457347926397,42.213391421719024,2,6,15
30,-88.6548466109846,41.54385921397686,1,4,-1
31,-87.87289819874181,42.636709447720094,1,3,-1
32,-87.98100029816665,42.064769023045784,2,5,12
33,-87.80377705744377,41.71229612412628,2,11,13
34,-87.0631740143773,41.60642916133365,1,2,-1
35,-88.02850103731211,42.29000456473895,1,3,-1
36,-88.48702335596346,42.63191058900522,1,9,-1
37,-87.80085421560597,41.92598688802477,2,5,12
38,-87.64411982771573,41.887867114854586,2,11,13
39,-87.59997908644137,41.77970419164125,2,11,13
40,-88.3342536928323,41.91065658979721,2,6,15
41,-88.89668915358578,42.20214953762721,1,0,-1
42,-87.49310314521928,41.37301134632819,1,2,-1
43,-87.81488249480529,41.27579960378937,1,7,-1
44,-88.76531639881442,41.93447241904767,2,6,15
45,-87.73454168067234,41.49852123835905,2,11,13
46,-88.03199541806127,41.523752487472926,2,1,14
47,-88.11337546792276,41.541919986385814,2,1,14
48,-87.876123230609,41.790724174592555,2,11,13
49,-88.55978197956372,42.284011206942736,1,9,-1
50,-89.30947026994882,42.43684928676612,1,0,-1
51,-88.06504204309451,42.04526649116986,2,5,12
52,-88.60538322759226,42.465333663225195,1,9,-1
53,-88.01971478002302,42.514477150410514,1,3,-1
54,-87.86122498365259,42.285058099741576,2,5,12
55,-87.25034473783906,41.33778895142386,1,2,-1
56,-88.11522753455655,41.89425934269978,2,1,14
57,-86.95092167064352,41.4835847748581,1,8,-1
58,-88.24158795632277,42.735677017323596,1,3,-1
59,-86.84040751116876,41.70516789864469,1,8,-1
60,-87.81972613489303,41.15405681615805,1,7,-1
61,-87.73583085264117,42.07115318605323,2,5,12
62,-87.87140650332566,41.527276966449826,2,11,13
63,-87.69065931671413,42.02113692340972,2,5,12
64,-88.29862888984536,41.75644159856311,2,1,14
65,-88.53158946119899,41.81508084319589,2,6,15
66,-88.08875541527946,41.78469481039647,2,1,14
67,-88.03055632616046,42.13079286545391,2,5,12
68,-88.43822913040682,41.398428071449054,1,10,-1
69,-89.08978658006023,41.5695546082598,1,4,-1
70,-87.9824906743011,41.17278321674171,1,7,-1
71,-88.70198014004426,42.786323457310665,1,9,-1
72,-89.08960450751917,41.30527956202069,1,4,-1
73,-87.45329242160473,41.581640950895974,1,2,-1
74,-88.88610649693378,41.14964259251736,1,4,-1
75,-87.8207481320645,42.76273024311016,1,3,-1
76,-87.72611255074227,41.90352677946909,2,11,13
77,-87.84276648282963,41.05492032138463,1,7,-1
78,-87.94095168311317,41.90208846468904,2,5,12
79,-89.06526175103663,42.15925085636308,1,0,-1
80,-88.90950541714425,41.67329136633877,1,4,-1
81,-88.5118551091727,42.10834118957788,2,6,15
82,-87.08617985190712,41.467525806596946,1,2,-1
83,-87.85001526632655,41.62916859174135,2,11,13
84,-88.17016748729166,42.29155520734761,1,3,-1
85,-87.79229278522611,41.41927351706945,1,7,-1
86,-87.73086184249566,41.657622778348774,2,11,13
87,-87.20610888002498,41.57626361929747,1,2,-1
88,-88.27244667278964,42.11585933401011,2,6,15
89,-88.09219282752926,41.67828129120785,2,1,14
90,-88.09583449620376,42.38191913923295,1,3,-1
